#,"./SRR14530610_trimmed.bam","./SRR14530611_trimmed.bam","./SRR14530612_trimmed.bam","./SRR14530613_trimmed.bam","./SRR14530614_trimmed.bam","./SRR14530615_trimmed.bam","./SRR14530616_trimmed.bam","./SRR14530617_trimmed.bam"
Geneid,./SRR14530610_trimmed.bam,./SRR14530611_trimmed.bam,./SRR14530612_trimmed.bam,./SRR14530613_trimmed.bam,./SRR14530614_trimmed.bam,./SRR14530615_trimmed.bam,./SRR14530616_trimmed.bam,./SRR14530617_trimmed.bam
ENSG00000186827,6,0,38,0,23,0,3,11
ENSG00000186891,22,0,35,0,27,0,10,10
ENSG00000160072,107,144,251,59,252,1,92,132
ENSG00000260179,2,0,2,0,7,0,11,7
ENSG00000234396,0,0,0,0,0,0,0,0
ENSG00000225972,1,0,12,1,0,0,1,2
ENSG00000224315,4,0,7,0,9,0,2,0
ENSG00000198744,4,6,12,7,12,15,14,6
ENSG00000279928,6,0,2,0,6,84,4,3
ENSG00000228037,3,0,16,0,2,0,2,19
ENSG00000142611,24,131,4,30,12,0,48,3
ENSG00000225630,74,176,720,13,100,97,116,370
ENSG00000131584,142,0,329,42,296,11,90,137
ENSG00000227589,0,0,0,42,0,0,3,1
ENSG00000237402,0,0,1,63,1,0,6,1
ENSG00000284616,10,0,2,19,1,0,5,2
ENSG00000169972,20,0,63,27,57,0,17,27
ENSG00000157911,32,1,91,1,50,0,55,30
ENSG00000269896,6,0,3,19,9,0,10,5
ENSG00000237973,88,115,269,55,192,888,32,66
ENSG00000224051,28,0,71,23,38,86,21,26
ENSG00000228463,18,1,25,47,17,12,6,4
ENSG00000260972,0,0,0,0,5,0,12,0
ENSG00000157933,533,132,1330,106,748,1401,243,583
ENSG00000162591,210,3,416,191,396,143,198,297
ENSG00000224340,6,0,3,0,3,0,0,4
ENSG00000270035,0,0,0,0,0,0,0,0
ENSG00000169962,13,0,35,54,64,0,26,10
ENSG00000226545,3,0,0,0,4,0,2,0
ENSG00000233653,1,0,1,0,0,1,0,0
ENSG00000268663,0,0,0,0,0,0,0,0
ENSG00000226374,7,0,1,0,1,0,11,0
ENSG00000116285,12,0,6,1,27,0,5,1
ENSG00000229280,2,0,0,0,0,0,1,0
ENSG00000142655,52,1,107,10,159,33,43,66
ENSG00000232596,29,1,2,0,29,0,46,3
ENSG00000235054,7,0,2,0,12,0,13,0
ENSG00000232663,1,0,1,0,4,0,0,1
ENSG00000284646,3,0,0,0,3,0,10,1
ENSG00000240409,0,0,0,2,0,0,1,1
ENSG00000229344,3,0,1,0,1,2,0,1
ENSG00000231510,0,0,0,7,0,0,1,0
ENSG00000149527,212,1,278,1,389,0,58,102
ENSG00000284739,0,0,0,0,0,0,0,0
ENSG00000171621,8,0,17,35,5,705,21,5
ENSG00000272235,4,0,0,27,1,0,15,1
ENSG00000236679,1,0,2,0,2,0,4,0
ENSG00000284694,22,0,0,14,5,0,8,1
ENSG00000162441,94,43,333,90,115,201,52,98
ENSG00000230021,8,0,3,0,5,11,3,2
ENSG00000271264,4,0,0,0,0,0,0,1
ENSG00000287356,2,141,7,0,8,0,14,6
ENSG00000224387,1,0,3,0,14,0,1,3
ENSG00000285629,0,0,0,0,0,0,0,1
ENSG00000173673,3,0,0,0,0,0,0,0
ENSG00000227372,65,61,111,98,179,0,56,65
ENSG00000142583,31,296,15,332,22,0,30,30
ENSG00000223663,6,0,0,0,0,0,0,1
ENSG00000284674,29,0,0,14,17,0,7,1
ENSG00000272161,1,0,0,0,1,0,2,1
